intent,pertanyaan,jawaban,pertanyaan_clean
gangguan,kenapa ya listrik jeglek terus di seluruh blok ini?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa listrik jeglek terus di seluruh blok ini
gangguan,"mau lapor, ada gangguan di rumah saya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor ada gangguan di rumah saya
gangguan,"lapor gangguan, listrik byar pet beberapa menit lalu.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan listrik byar pet beberapa menit lalu
gangguan,"Min, listrik padam di rumah saya seharian ini, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin listrik padam di rumah saya seharian ini ini kenapa
gangguan,"lapor gangguan, ada gangguan seharian ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan ada gangguan seharian ini
gangguan,"jaringan down di area sini beberapa menit lalu, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",jaringan down di area sini beberapa menit lalu ini kenapa
gangguan,"Min, ada tiang listrik terbakar di komplek, bisa dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin ada tiang listrik terbakar di komplek bisa dicek
gangguan,kenapa ya listrik mati terus di jalan garuda?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",kenapa listrik mati terus di jalan garuda
gangguan,ada kabel listrik putus di jalan umum ,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada kabel listrik putus di jalan umum
gangguan,"mau komplain, tegangan naik turun.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain tegangan naik turun
gangguan,cara pengaduan kabel terbakar bisa dicek?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan kabel terbakar bisa dicek
gangguan,"ada meteran mengeluarkan percikan api di area sini,","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada meteran mengeluarkan percikan api di area sini
gangguan,"mau lapor, listrik padam di wilayah kami.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor listrik padam di wilayah kami
gangguan,"ada tiang listrik mengeluarkan percikan api di wilayah kami, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada tiang listrik mengeluarkan percikan api di wilayah kami ini kenapa
