intent,pertanyaan,jawaban,pertanyaan_clean
gangguan,"Permisi, kenapa ya listrik jeglek terus di seluruh blok ini?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi mengapa listrik jeglek terus di seluruh blok ini
gangguan,"Tolong, mau lapor, ada gangguan di rumah saya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mau lapor ada gangguan di rumah saya
gangguan,"lapor gangguan, listrik byar pet beberapa menit lalu.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",lapor gangguan listrik byar pet beberapa menit lalu
gangguan,"Min, listrik padam di rumah saya seharian ini, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin listrik padam di rumah saya seharian ini ini mengapa
gangguan,"Tolong, lapor gangguan, ada gangguan seharian ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong lapor gangguan ada gangguan seharian ini
gangguan,"jaringan down di area sini beberapa menit lalu, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",jaringan down di area sini beberapa menit lalu ini mengapa
gangguan,"Min, ada tiang listrik terbakar di komplek, bisa tolong dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin ada tiang listrik terbakar di komplek bisa tolong dicek
gangguan,"Halo, kenapa ya listrik mati terus di jalan garuda?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo mengapa listrik mati terus di jalan garuda
gangguan,"Min, mau lapor, listrik mati di jalan garuda.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor listrik mati di jalan garuda
gangguan,"Permisi, mau komplain, tegangan naik turun.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi mau komplain tegangan naik turun
gangguan,"Halo, cara pengaduan kabel terbakar bisa tolong dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo cara pengaduan kabel terbakar bisa tolong dicek
gangguan,"Halo, ada meteran mengeluarkan percikan api di area sini,","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo ada meteran mengeluarkan percikan api di area sini
gangguan,"Halo, mau lapor, listrik padam di wilayah kami.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo mau lapor listrik padam di wilayah kami
gangguan,"ada tiang listrik mengeluarkan percikan api di wilayah kami, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada tiang listrik mengeluarkan percikan api di wilayah kami ini mengapa
gangguan,"Halo, mau komplain, lampu kedap-kedip.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo mau komplain lampu kedap-kedip
gangguan,"Permisi, mati lampu di wilayah kami seharian ini, bisa tolong dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi mati lampu di wilayah kami seharian ini bisa tolong dicek
gangguan,"Halo, ada gardu berasap di komplek, bisa tolong dicek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo ada gardu berasap di komplek bisa tolong dicek
gangguan,"Permisi, ada kabel rusak di area sini, ada perbaikan kah?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi ada kabel rusak di area sini ada perbaikan kah
gangguan,"mau lapor, listrik padam di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau lapor listrik padam di seluruh blok ini
gangguan,"Permisi, lapor gangguan, listrik mati hampir 2 jam.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi lapor gangguan listrik mati hampir 2 jam
gangguan,"Halo, kenapa ya listrik padam terus di jalan garuda?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo mengapa listrik padam terus di jalan garuda
gangguan,"Tolong, mau komplain, tegangan naik turun.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mau komplain tegangan naik turun
gangguan,"Tolong, mau komplain, sekring anjlok terus.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mau komplain sekring anjlok terus
gangguan,cara pengaduan tiang listrik bau gosong lapornya kemana?,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan tiang listrik bau gosong lapornya kemana
gangguan,"Halo, kenapa ya listrik mati terus di komplek?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo mengapa listrik mati terus di komplek
gangguan,"Halo, ada meteran miring di komplek, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo ada meteran miring di komplek ini mengapa
gangguan,"Tolong, ada gardu putus di komplek,","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong ada gardu putus di komplek
gangguan,"Halo, ada meteran berasap di kantor, ada perbaikan kah?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo ada meteran berasap di kantor ada perbaikan kah
gangguan,"Tolong, cara pengaduan meteran mengeluarkan percikan api mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong cara pengaduan meteran mengeluarkan percikan api mohon bantuannya
gangguan,"Min, kenapa ya ada gangguan terus di seluruh blok ini?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mengapa ada gangguan terus di seluruh blok ini
gangguan,"Min, mau komplain, aliran listrik tidak stabil.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau komplain aliran listrik tidak stabil
gangguan,"Tolong, mati lampu di jalan garuda beberapa menit lalu, lapornya kemana?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mati lampu di jalan garuda beberapa menit lalu lapornya kemana
gangguan,"Halo, ada gardu bau gosong di jalan garuda, ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo ada gardu bau gosong di jalan garuda ini mengapa
gangguan,"Min, kenapa ya listrik mati terus di jalan garuda?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mengapa listrik mati terus di jalan garuda
gangguan,"Permisi, mau komplain, aliran listrik tidak stabil.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",permisi mau komplain aliran listrik tidak stabil
gangguan,"Tolong, cara pengaduan kabel rusak ini kenapa ya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong cara pengaduan kabel rusak ini mengapa
gangguan,"Min, kenapa ya listrik jeglek terus di kantor?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mengapa listrik jeglek terus di kantor
gangguan,"listrik mati di kantor dari semalam, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",listrik mati di kantor dari semalam mohon bantuannya
gangguan,"Tolong, cara pengaduan meteran putus gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong cara pengaduan meteran putus bagaimana solusinya
gangguan,"ada meteran miring di kantor, ada perbaikan kah?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",ada meteran miring di kantor ada perbaikan kah
gangguan,"Tolong, mau lapor, ada gangguan di jalan garuda.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong mau lapor ada gangguan di jalan garuda
gangguan,"Halo, ada kabel rusak di seluruh blok ini,","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo ada kabel rusak di seluruh blok ini
gangguan,"Halo, cara pengaduan tiang listrik bau gosong lapornya kemana?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo cara pengaduan tiang listrik bau gosong lapornya kemana
gangguan,"Min, mau lapor, listrik jeglek di seluruh blok ini.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",admin mau lapor listrik jeglek di seluruh blok ini
gangguan,"Tolong, ada kabel bau gosong di komplek, gimana solusinya?","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",tolong ada kabel bau gosong di komplek bagaimana solusinya
gangguan,cara pengaduan tiang listrik miring mohon bantuannya.,"Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",cara pengaduan tiang listrik miring mohon bantuannya
gangguan,"Halo, listrik jeglek di jalan garuda seharian ini, mohon bantuannya.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",halo listrik jeglek di jalan garuda seharian ini mohon bantuannya
gangguan,"mau komplain, sekring anjlok terus.","Untuk gangguan, laporkan via PLN Mobile (menu Pengaduan) atau hubungi 123 yang tersedia 24 jam.",mau komplain sekring anjlok terus
